filepaths,labels,data set
train/air hockey/001.jpg,air hockey,train
train/air hockey/002.jpg,air hockey,train
train/air hockey/003.jpg,air hockey,train
train/air hockey/004.jpg,air hockey,train
train/air hockey/005.jpg,air hockey,train
train/air hockey/006.jpg,air hockey,train
train/air hockey/007.jpg,air hockey,train
train/air hockey/008.jpg,air hockey,train
train/air hockey/009.jpg,air hockey,train
train/air hockey/010.jpg,air hockey,train
train/air hockey/011.jpg,air hockey,train
train/air hockey/012.jpg,air hockey,train
train/air hockey/013.jpg,air hockey,train
train/air hockey/014.jpg,air hockey,train
train/air hockey/015.jpg,air hockey,train
train/air hockey/016.jpg,air hockey,train
train/air hockey/017.jpg,air hockey,train
train/air hockey/018.jpg,air hockey,train
train/air hockey/019.jpg,air hockey,train
train/air hockey/020.jpg,air hockey,train
train/air hockey/021.jpg,air hockey,train
train/air hockey/022.jpg,air hockey,train
train/air hockey/023.jpg,air hockey,train
train/air hockey/024.jpg,air hockey,train
train/air hockey/025.jpg,air hockey,train
train/air hockey/026.jpg,air hockey,train
train/air hockey/027.jpg,air hockey,train
train/air hockey/028.jpg,air hockey,train
train/air hockey/029.jpg,air hockey,train
train/air hockey/030.jpg,air hockey,train
train/air hockey/031.jpg,air hockey,train
train/air hockey/032.jpg,air hockey,train
train/air hockey/033.jpg,air hockey,train
train/air hockey/034.jpg,air hockey,train
train/air hockey/035.jpg,air hockey,train
train/air hockey/036.jpg,air hockey,train
train/air hockey/037.jpg,air hockey,train
train/air hockey/038.jpg,air hockey,train
train/air hockey/039.jpg,air hockey,train
train/air hockey/040.jpg,air hockey,train
train/air hockey/041.jpg,air hockey,train
train/air hockey/042.jpg,air hockey,train
train/air hockey/043.jpg,air hockey,train
train/air hockey/044.jpg,air hockey,train
train/air hockey/045.jpg,air hockey,train
train/air hockey/046.jpg,air hockey,train
train/air hockey/047.jpg,air hockey,train
train/air hockey/048.jpg,air hockey,train
train/air hockey/049.jpg,air hockey,train
train/air hockey/050.jpg,air hockey,train
train/air hockey/051.jpg,air hockey,train
train/air hockey/052.jpg,air hockey,train
train/air hockey/053.jpg,air hockey,train
train/air hockey/054.jpg,air hockey,train
train/air hockey/055.jpg,air hockey,train
train/air hockey/056.jpg,air hockey,train
train/air hockey/057.jpg,air hockey,train
train/air hockey/058.jpg,air hockey,train
train/air hockey/059.jpg,air hockey,train
train/air hockey/060.jpg,air hockey,train
train/air hockey/061.jpg,air hockey,train
train/air hockey/062.jpg,air hockey,train
train/air hockey/063.jpg,air hockey,train
train/air hockey/064.jpg,air hockey,train
train/air hockey/065.jpg,air hockey,train
train/air hockey/066.jpg,air hockey,train
train/air hockey/067.jpg,air hockey,train
train/air hockey/068.jpg,air hockey,train
train/air hockey/069.jpg,air hockey,train
train/air hockey/070.jpg,air hockey,train
train/air hockey/071.jpg,air hockey,train
train/air hockey/072.jpg,air hockey,train
train/air hockey/073.jpg,air hockey,train
train/air hockey/074.jpg,air hockey,train
train/air hockey/075.jpg,air hockey,train
train/air hockey/076.jpg,air hockey,train
train/air hockey/077.jpg,air hockey,train
train/air hockey/078.jpg,air hockey,train
train/air hockey/079.jpg,air hockey,train
train/air hockey/080.jpg,air hockey,train
train/air hockey/081.jpg,air hockey,train
train/air hockey/082.jpg,air hockey,train
train/air hockey/083.jpg,air hockey,train
train/air hockey/084.jpg,air hockey,train
train/air hockey/085.jpg,air hockey,train
train/air hockey/086.jpg,air hockey,train
train/air hockey/087.jpg,air hockey,train
train/air hockey/088.jpg,air hockey,train
train/air hockey/089.jpg,air hockey,train
train/air hockey/090.jpg,air hockey,train
train/air hockey/091.jpg,air hockey,train
train/air hockey/092.jpg,air hockey,train
train/air hockey/093.jpg,air hockey,train
train/air hockey/094.jpg,air hockey,train
train/air hockey/095.jpg,air hockey,train
train/air hockey/096.jpg,air hockey,train
train/air hockey/097.jpg,air hockey,train
train/air hockey/098.jpg,air hockey,train
train/air hockey/099.jpg,air hockey,train
train/air hockey/100.jpg,air hockey,train
train/air hockey/101.jpg,air hockey,train
train/air hockey/102.jpg,air hockey,train
train/air hockey/103.jpg,air hockey,train
train/air hockey/104.jpg,air hockey,train
train/air hockey/105.jpg,air hockey,train
train/air hockey/106.jpg,air hockey,train
train/air hockey/107.jpg,air hockey,train
train/air hockey/108.jpg,air hockey,train
train/air hockey/109.jpg,air hockey,train
train/air hockey/110.jpg,air hockey,train
train/air hockey/111.jpg,air hockey,train
train/air hockey/112.jpg,air hockey,train
train/ampute football/001.jpg,ampute football,train
train/ampute football/002.jpg,ampute football,train
train/ampute football/003.jpg,ampute football,train
train/ampute football/004.jpg,ampute football,train
train/ampute football/005.jpg,ampute football,train
train/ampute football/006.jpg,ampute football,train
train/ampute football/007.jpg,ampute football,train
train/ampute football/008.jpg,ampute football,train
train/ampute football/009.jpg,ampute football,train
train/ampute football/010.jpg,ampute football,train
train/ampute football/011.jpg,ampute football,train
train/ampute football/012.jpg,ampute football,train
train/ampute football/013.jpg,ampute football,train
train/ampute football/014.jpg,ampute football,train
train/ampute football/015.jpg,ampute football,train
train/ampute football/016.jpg,ampute football,train
train/ampute football/017.jpg,ampute football,train
train/ampute football/018.jpg,ampute football,train
train/ampute football/019.jpg,ampute football,train
train/ampute football/020.jpg,ampute football,train
train/ampute football/021.jpg,ampute football,train
train/ampute football/022.jpg,ampute football,train
train/ampute football/023.jpg,ampute football,train
train/ampute football/024.jpg,ampute football,train
train/ampute football/025.jpg,ampute football,train
train/ampute football/026.jpg,ampute football,train
train/ampute football/027.jpg,ampute football,train
train/ampute football/028.jpg,ampute football,train
train/ampute football/029.jpg,ampute football,train
train/ampute football/030.jpg,ampute football,train
train/ampute football/031.jpg,ampute football,train
train/ampute football/032.jpg,ampute football,train
train/ampute football/033.jpg,ampute football,train
train/ampute football/034.jpg,ampute football,train
train/ampute football/035.jpg,ampute football,train
train/ampute football/036.jpg,ampute football,train
train/ampute football/037.jpg,ampute football,train
train/ampute football/038.jpg,ampute football,train
train/ampute football/039.jpg,ampute football,train
train/ampute football/040.jpg,ampute football,train
train/ampute football/041.jpg,ampute football,train
train/ampute football/042.jpg,ampute football,train
train/ampute football/043.jpg,ampute football,train
train/ampute football/044.jpg,ampute football,train
train/ampute football/045.jpg,ampute football,train
